,juliandate,A0620Cal,merr1
58,2454838.74345,19.0545,0.015
59,2454841.70349,18.837,0.06
60,2454850.63731,19.035999999999998,0.012
61,2454854.52708,18.79,0.051
62,2454854.54668,19.0915,0.016
63,2454854.55210,19.007500000000004,0.013
64,2454854.57122,19.063,0.014
65,2454854.58102,19.115,0.014
66,2454862.55934,18.9575,0.014
67,2454862.57392,18.938,0.012
68,2454862.59106,18.871000000000002,0.011
69,2454862.60484,18.740000000000002,0.01
70,2454862.62782,18.983,0.01
71,2454862.65148,18.922500000000003,0.012
72,2454862.65934,18.8215,0.011
73,2454862.66412,18.927999999999997,0.012
74,2454862.67362,18.879000000000005,0.012
75,2454862.67840,18.814999999999998,0.011
76,2454862.68849,18.9375,0.012
77,2454862.69327,18.9875,0.013
78,2454862.70806,18.6815,0.01
79,2454862.71284,18.865,0.012
80,2454862.73864,18.643,0.01
81,2454862.74342,18.6735,0.01
82,2454862.75257,18.8235,0.013
83,2454862.75735,18.284499999999998,0.008
84,2454866.60882,18.902,0.02
85,2454866.61849,19.0165,0.025
86,2454866.62326,18.996,0.025
87,2454866.63469,18.8855,0.02
88,2454866.63947,18.866500000000002,0.02
89,2454866.64719,18.744999999999997,0.018
90,2454866.65197,18.834,0.018
91,2454866.66176,18.914,0.017
92,2454866.66654,18.911,0.017
93,2454866.67578,18.943,0.018
94,2454866.68296,18.922,0.015
95,2454866.69272,19.0685,0.014
96,2454866.71046,19.027,0.013
97,2454867.60951,18.782500000000002,0.03
98,2454867.63426,18.795,0.036
99,2454867.68866,19.131,0.035
100,2454870.57619,18.902,0.051
101,2454870.60715,18.884,0.04
102,2454870.62016,18.809500000000003,0.037
103,2454870.63476,18.988,0.048
104,2454870.68443,18.801000000000002,0.05
105,2454874.53609,19.049000000000003,0.017
106,2454874.55773,18.966,0.026
107,2454874.59457,19.0595,0.028
108,2454874.60646,18.975,0.032
109,2454874.62905,19.1475,0.042
110,2454874.63815,19.0485,0.036
111,2454874.65512,19.072000000000003,0.034
112,2454874.67130,18.799000000000003,0.031
113,2454874.68070,18.651999999999997,0.029
114,2454878.60043,19.0135,0.013
115,2454878.61574,19.112,0.015
116,2454878.62511,19.0375,0.014
117,2454878.63503,19.171000000000003,0.018
118,2454878.63982,19.163500000000003,0.019
119,2454878.64589,19.104,0.018
120,2454878.65462,19.171,0.02
121,2454882.65129,19.081000000000003,0.017
122,2454885.60615,19.249,0.016
123,2454888.57942,19.084999999999997,0.014
124,2454891.64992,19.126,0.016
125,2454894.60460,19.1695,0.026
126,2454897.57857,19.057,0.036
127,2454900.61724,19.248,0.079
128,2454903.60880,18.996499999999997,0.043
129,2454906.59151,19.2025,0.03
130,2454909.56870,18.8065,0.012
131,2454912.57282,18.895,0.013
132,2454915.57158,18.997,0.016
133,2454918.58504,18.823,0.013
134,2454921.56557,18.949,0.014
135,2454924.53429,19.094499999999996,0.036
136,2454927.52360,18.650000000000002,0.027
137,2454929.52858,18.9165,0.045
138,2454931.53540,18.794,0.052
139,2454934.53477,18.8445,0.026
140,2454935.52059,19.0435,0.015
141,2455106.85762,19.422,0.04
142,2455109.84003,19.084000000000003,0.054
143,2455112.81935,19.198500000000003,0.044
144,2455116.81271,19.182,0.026
145,2455116.84739,18.915,0.017
146,2455118.82417,19.322,0.018
147,2455120.79364,19.279,0.017
148,2455122.77152,18.9445,0.015
149,2455125.80072,19.1385,0.014
150,2455125.81944,18.95,0.013
151,2455126.75439,19.060000000000002,0.015
152,2455128.77305,19.043,0.027
153,2455132.82621,19.0645,0.013
154,2455139.80058,19.3565,0.066
155,2455141.73220,19.112500000000004,0.08
156,2455143.72518,19.119500000000002,0.037
157,2455146.73803,19.235999999999997,0.019
158,2455148.80227,19.1605,0.016
159,2455150.72707,19.1325,0.015
160,2455152.74099,19.436999999999998,0.018
161,2455153.73400,19.277500000000003,0.028
162,2455154.76320,19.1825,0.014
163,2455157.74949,19.339499999999997,0.018
164,2455159.72362,19.19,0.013
165,2455160.77914,19.366500000000002,0.053
166,2455161.76946,19.360500000000002,0.019
167,2455163.76715,19.254,0.019
168,2455164.80414,19.0945,0.015
169,2455166.66331,19.128500000000003,0.062
170,2455168.78099,19.093,0.078
171,2455170.75500,19.0105,0.048
172,2455173.68351,19.079500000000003,0.021
173,2455175.73284,18.757,0.012
174,2455177.74454,19.156,0.014
175,2455178.71365,19.227999999999998,0.016
176,2455180.65099,19.2365,0.018
177,2455181.74240,19.144,0.025
178,2455182.71998,19.078500000000002,0.013
179,2455183.77686,19.339000000000002,0.018
180,2455184.73665,19.2835,0.025
181,2455185.69343,19.339000000000002,0.019
182,2455186.70722,19.1895,0.014
183,2455187.70773,19.170500000000004,0.014
184,2455199.69752,19.1985,0.05
185,2455200.68392,19.162499999999998,0.036
186,2455201.72381,19.1825,0.033
187,2455202.71419,18.820999999999998,0.02
188,2455203.74660,19.117500000000003,0.022
189,2455207.69120,19.1275,0.014
190,2455208.71325,19.093,0.016
191,2455209.68923,19.157500000000002,0.016
192,2455210.76025,19.139999999999997,0.017
193,2455211.73834,19.0615,0.015
194,2455212.71427,19.05,0.015
195,2455213.69321,19.052500000000002,0.017
196,2455214.71038,19.115999999999996,0.015
197,2455215.69243,19.189000000000004,0.017
198,2455216.68868,19.316,0.019
199,2455218.77323,19.2805,0.021
200,2455219.67378,19.142500000000002,0.016
201,2455222.72281,19.040499999999998,0.027
202,2455225.73291,19.116,0.117
203,2455226.68476,19.064,0.136
204,2455227.71925,18.9285,0.081
205,2455228.73279,18.901500000000002,0.06
206,2455229.75413,19.163,0.084
207,2455231.68295,18.995,0.027
208,2455232.73789,19.1015,0.037
209,2455234.72215,18.976000000000003,0.019
210,2455235.64740,18.942999999999998,0.013
211,2455237.66100,19.17,0.016
212,2455243.66530,18.944000000000003,0.015
213,2455245.66857,19.0755,0.016
214,2455247.62721,19.008499999999998,0.017
215,2455249.57600,19.0235,0.022
216,2455251.55787,19.195,0.05
217,2455253.57397,18.994000000000003,0.043
218,2455255.63185,19.253999999999998,0.088
219,2455256.63562,18.946,0.07
220,2455257.61980,18.985999999999997,0.057
221,2455260.65126,19.2965,0.041
222,2455262.65110,19.2085,0.026
223,2455263.63658,19.029,0.017
224,2455265.58116,19.129,0.016
225,2455267.57557,19.097,0.015
226,2455269.61294,19.003,0.016
227,2455274.53015,19.3005,0.018
228,2455276.60171,19.175000000000004,0.016
229,2455278.57635,19.1305,0.033
230,2455279.48366,18.965999999999998,0.06
231,2455280.48293,19.0605,0.076
232,2455281.50869,19.04,0.042
233,2455284.56455,19.2225,0.068
234,2455287.55067,18.782999999999998,0.033
235,2455289.50518,19.1395,0.016
236,2455291.51172,18.8835,0.014
237,2455294.51209,19.258,0.02
238,2455295.50903,19.2325,0.018
239,2455296.50715,19.095000000000002,0.016
240,2455297.51290,19.154500000000002,0.017
241,2455298.52123,19.0535,0.026
242,2455299.48610,19.018,0.015
243,2455301.51194,18.990000000000002,0.015
244,2455306.47309,18.7145,0.02
245,2455308.47175,18.8885,0.028
246,2455310.47770,18.9615,0.035
247,2455313.49364,18.915,0.052
248,2455317.46629,18.8705,0.022
249,2455320.46709,18.591500000000003,0.013
250,2455323.46931,18.8295,0.052
251,2455325.46773,18.913000000000004,0.018
252,2455327.45927,19.0985,0.035
253,2455436.88295,18.844,0.037
254,2455439.86443,18.444499999999998,0.024
255,2455446.87014,19.0735,0.017
256,2455447.90784,18.9045,0.031
257,2455448.87998,18.914,0.014
258,2455454.86507,18.672000000000004,0.012
259,2455455.84921,18.910500000000003,0.02
260,2455456.87818,19.081000000000003,0.016
261,2455458.88327,18.996000000000002,0.015
262,2455459.85089,18.9145,0.03
263,2455462.87178,18.9165,0.044
264,2455468.84179,18.941,0.035
265,2455470.85234,18.906499999999998,0.028
266,2455472.81327,19.021,0.019
267,2455475.81564,18.9585,0.016
268,2455477.82572,18.993,0.014
269,2455479.78717,18.811,0.014
270,2455481.78852,18.805,0.013
271,2455483.81427,18.797,0.015
272,2455485.79215,18.873500000000003,0.015
273,2455487.81907,18.703000000000003,0.013
274,2455489.78742,18.932,0.033
275,2455490.79157,18.936,0.039
276,2455491.78823,18.721,0.034
277,2455492.78142,18.5565,0.037
278,2455493.79772,18.701,0.046
279,2455494.78526,18.852999999999998,0.047
280,2455495.81512,18.8675,0.038
281,2455496.83762,18.866,0.033
282,2455499.79812,19.029,0.024
283,2455501.81029,18.9765,0.018
284,2455502.79865,18.931000000000004,0.013
285,2455503.72983,18.9055,0.014
286,2455505.67306,19.07,0.019
287,2455506.72662,19.0545,0.015
288,2455509.78571,18.876,0.012
289,2455510.77313,19.0385,0.015
290,2455511.73501,18.9095,0.014
291,2455512.83671,18.871000000000002,0.014
292,2455513.64919,18.75,0.025
293,2455514.73663,18.737999999999996,0.012
294,2455515.77291,19.087500000000002,0.016
295,2455516.75537,19.05,0.019
296,2455517.72019,19.0755,0.03
297,2455518.64812,18.9315,0.046
298,2455519.68195,18.777,0.036
299,2455521.64625,18.875500000000002,0.084
300,2455522.65627,18.61,0.07
301,2455523.74072,18.7015,0.045
302,2455524.73433,18.8725,0.068
303,2455525.74177,19.0075,0.055
304,2455526.79972,18.961,0.036
305,2455527.81050,18.885499999999997,0.028
306,2455528.69099,18.8805,0.017
307,2455529.73189,18.8925,0.017
308,2455530.61557,19.0425,0.018
309,2455531.61185,18.7875,0.014
310,2455532.65362,18.9105,0.015
311,2455533.60425,19.008,0.016
312,2455534.61747,18.8425,0.015
313,2455537.72041,18.6555,0.011
314,2455538.68726,18.854,0.013
315,2455539.65482,18.955,0.015
316,2455540.59441,18.6275,0.013
317,2455541.62660,19.055500000000002,0.018
318,2455542.60225,19.002000000000002,0.024
319,2455542.71784,18.9795,0.014
320,2455543.59628,19.207,0.033
321,2455543.70280,19.176000000000002,0.016
322,2455543.82370,19.001,0.016
323,2455544.70334,19.22,0.018
324,2455545.66973,19.121499999999997,0.028
325,2455545.82796,19.114,0.017
326,2455546.77240,18.977,0.013
327,2455547.63413,18.962000000000003,0.039
328,2455548.64858,19.0025,0.039
329,2455549.64504,18.849999999999998,0.041
330,2455550.65740,19.128,0.084
331,2455551.59795,18.819000000000003,0.11
332,2455552.64480,19.358999999999998,0.159
333,2455553.78665,19.4215,0.11
334,2455554.69039,19.1305,0.045
335,2455554.69596,19.119000000000003,0.047
336,2455557.72708,19.0775,0.026
337,2455558.64830,19.169999999999998,0.017
338,2455559.73215,19.253,0.022
339,2455560.72057,19.275,0.018
340,2455993.58690,19.0985,0.061
341,2455997.55652,19.1,0.037
342,2456000.56820,19.104,0.015
343,2456002.53546,18.990000000000002,0.016
344,2456004.53757,19.2145,0.018
345,2456007.57958,19.083000000000002,0.016
346,2456009.51627,19.32,0.017
347,2456010.52490,19.254,0.017
348,2456011.56012,19.112000000000002,0.018
349,2456013.52288,19.281499999999998,0.018
350,2456015.51796,19.3485,0.036
351,2456017.53621,18.974,0.093
352,2456019.55706,19.351,0.074
353,2456022.53756,19.122,0.072
354,2456025.51831,19.202,0.069
355,2456029.51758,18.3775,0.012
356,2456032.49705,19.31,0.025
357,2456035.50075,19.125500000000002,0.024
358,2456037.51776,19.02,0.02
359,2456039.50059,19.148500000000002,0.022
360,2456042.50068,19.019000000000002,0.025
361,2456048.47743,19.0745,0.04
362,2456050.47282,18.932,0.057
363,2456052.45666,19.031000000000002,0.105
364,2456054.47542,18.958500000000004,0.073
365,2456056.45473,18.7945,0.066
366,2456198.83635,18.9795,0.053
367,2456200.86495,19.113,0.067
368,2456201.81677,18.6615,0.095
369,2456202.77469,18.624499999999998,0.053
370,2456204.82432,18.7935,0.044
371,2456212.86413,18.706000000000003,0.015
372,2456219.70849,18.926000000000002,0.02
373,2456226.80978,19.0855,0.033
374,2456229.76921,19.001,0.073
375,2456230.80905,19.029500000000002,0.069
376,2456233.70785,18.8455,0.069
377,2456235.70998,18.999000000000002,0.053
378,2456237.72469,19.099,0.03
379,2456239.73480,19.127499999999998,0.021
380,2456241.74641,19.3015,0.027
381,2456245.75107,19.2445,0.024
382,2456248.69675,19.282999999999998,0.022
383,2456251.67502,19.2485,0.033
384,2456253.72141,19.205000000000002,0.031
385,2456255.75047,19.1425,0.033
386,2456257.76928,19.448500000000003,0.072
387,2456262.70223,19.0605,0.089
388,2456265.67866,19.2465,0.046
389,2456267.67109,18.99,0.02
390,2456269.74284,19.318,0.022
391,2456271.69293,19.228500000000004,0.021
392,2456273.73279,19.256,0.024
393,2456279.70595,19.0735,0.02
394,2456282.74085,19.1345,0.02
395,2456289.77358,19.124,0.129
396,2456291.72904,19.120500000000003,0.087
397,2456293.74712,19.2105,0.064
398,2456295.67163,18.9325,0.029
399,2456298.73794,18.856999999999996,0.018
400,2456300.71187,18.922500000000003,0.018
401,2456302.66213,19.104000000000003,0.021
402,2456304.56471,18.937,0.017
403,2456305.68084,18.9105,0.017
404,2456307.65395,19.066,0.022
405,2456309.58802,18.926999999999996,0.033
406,2456311.67283,18.9545,0.02
407,2456316.58512,18.7935,0.073
408,2456319.64544,19.4355,0.127
409,2456321.70753,19.316,0.08
410,2456333.62653,19.074,0.02
411,2456336.60937,19.0325,0.02
412,2456338.58679,18.996000000000002,0.018
413,2456342.63954,19.019,0.037
414,2456344.57595,18.868499999999997,0.047
415,2456350.64630,19.305500000000002,0.099
416,2456352.58945,19.088499999999996,0.046
417,2456355.54952,19.217,0.035
418,2456363.58545,19.297,0.025
419,2456365.60968,19.133999999999997,0.025
420,2456368.60445,18.948999999999998,0.021
421,2456371.61766,19.2405,0.068
422,2456373.61279,18.927000000000003,0.058
423,2456375.58719,19.066,0.074
424,2456377.56993,19.316,0.1
425,2456379.56065,19.234,0.096
426,2456381.59766,18.946500000000004,0.065
427,2456385.52414,19.26,0.024
428,2456387.56375,18.953000000000003,0.02
429,2456389.50568,19.076,0.023
430,2456393.53923,19.071,0.025
431,2456396.48990,19.2325,0.027
432,2456548.86512,18.7555,0.017
433,2456554.87898,18.994000000000003,0.078
434,2456556.86183,19.3725,0.092
435,2456557.84522,19.2535,0.07
436,2456559.86428,19.093500000000002,0.051
438,2456564.84457,18.986500000000003,0.028
439,2456567.85065,19.209500000000002,0.023
440,2456570.76873,19.3595,0.037
441,2456572.75823,19.17,0.033
442,2456574.81165,19.467,0.029
443,2456576.79132,19.3225,0.025
444,2456577.82488,19.119500000000002,0.029
445,2456578.79931,19.189,0.027
446,2456579.78650,19.219499999999996,0.033
447,2456580.82205,19.1425,0.026
448,2456582.80739,19.0575,0.051
449,2456583.80109,18.9795,0.06
450,2456585.74660,19.0605,0.093
451,2456591.84351,18.744999999999997,0.028
452,2456592.82478,18.706,0.021
453,2456594.79296,18.823,0.027
454,2456599.73649,19.0475,0.022
455,2456599.80132,19.159000000000002,0.023
456,2456600.76124,18.794500000000003,0.017
457,2456600.82414,19.0625,0.021
458,2456601.80796,18.8185,0.018
459,2456602.75851,19.017,0.022
460,2456602.79603,18.848000000000003,0.017
461,2456603.76084,18.762999999999998,0.016
462,2456603.80261,18.8095,0.017
463,2456605.76145,18.992500000000003,0.019
464,2456605.80140,18.8835,0.019
465,2456608.74736,18.814,0.025
466,2456609.78646,18.8505,0.021
467,2456610.70427,18.7655,0.039
468,2456611.72140,18.679000000000002,0.047
469,2456611.83365,18.7425,0.029
470,2456612.81327,18.547,0.034
471,2456613.82469,18.4835,0.05
472,2456614.76808,18.261,0.045
473,2456615.78661,18.413,0.051
474,2456616.79279,18.3515,0.04
475,2456617.75810,18.951,0.065
476,2456618.78991,18.6155,0.043
477,2456619.78424,18.930500000000002,0.05
478,2456621.78622,19.03,0.055
479,2456622.80746,19.111,0.028
480,2456625.78116,18.8595,0.017
481,2456626.73809,18.750999999999998,0.021
482,2456626.83795,18.773500000000002,0.016
483,2456627.73475,18.875500000000002,0.016
484,2456628.77970,18.887500000000003,0.018
485,2456629.84868,18.934,0.04
486,2456630.78921,18.8405,0.052
487,2456632.64410,19.034499999999998,0.021
488,2456632.66538,18.8565,0.017
489,2456632.71544,18.8225,0.017
490,2456632.74158,19.104,0.02
491,2456632.78588,19.0625,0.019
492,2456633.83939,18.7955,0.019
493,2456635.60993,18.794999999999998,0.026
494,2456635.64130,18.7645,0.021
495,2456635.64534,18.5435,0.018
496,2456635.64940,18.6335,0.019
497,2456635.68078,18.9185,0.019
498,2456635.68483,18.749499999999998,0.014
499,2456635.68888,18.945500000000003,0.016
500,2456635.72037,18.9195,0.015
501,2456635.72442,18.8235,0.014
502,2456635.72847,18.751500000000004,0.015
503,2456635.75983,18.8155,0.015
504,2456635.76389,18.534,0.011
505,2456635.76793,18.7035,0.013
506,2456635.79940,18.865000000000002,0.015
507,2456635.80345,18.7725,0.013
508,2456636.60868,19.0445,0.035
509,2456636.65736,18.91,0.027
510,2456636.74936,18.758,0.014
511,2456636.80637,19.0505,0.019
512,2456636.84354,18.9645,0.023
513,2456637.60820,18.8025,0.029
514,2456637.64211,18.6615,0.024
515,2456637.68290,18.631000000000004,0.021
516,2456637.73132,18.9225,0.018
517,2456637.78827,18.917,0.015
518,2456637.83785,18.687,0.016
519,2456638.64808,19.132,0.043
520,2456638.65988,18.853,0.031
521,2456638.67200,18.9395,0.036
522,2456638.68373,18.9795,0.033
523,2456638.69602,18.848,0.031
524,2456638.73216,19.070999999999998,0.03
525,2456638.78535,18.937,0.017
526,2456638.83163,18.8535,0.016
527,2456639.72428,18.804000000000002,0.039
528,2456640.76324,18.779500000000002,0.041
529,2456641.74686,18.879,0.06
530,2456642.73619,19.333000000000002,0.242
531,2456644.76328,18.528499999999998,0.087
532,2456645.69287,19.2055,0.123
533,2456646.74945,18.5465,0.044
534,2456647.79428,18.906499999999998,0.052
535,2456648.72412,18.9515,0.042
536,2456649.65953,18.783,0.03
537,2456650.74427,19.048,0.033
538,2456653.71821,19.044,0.021
539,2456653.72286,18.995,0.021
540,2456654.73207,19.01,0.02
541,2456655.69895,19.06,0.022
542,2456656.64844,19.027500000000003,0.025
543,2456657.66955,19.2025,0.023
544,2456658.75890,19.1115,0.022
545,2456659.68751,19.029,0.023
546,2456660.67825,19.1545,0.023
547,2456661.75070,19.179,0.027
548,2456662.62024,19.105,0.022
549,2456663.66449,19.03,0.023
550,2456664.67142,18.9085,0.019
551,2456665.67009,18.811,0.023
552,2456666.65417,18.899500000000003,0.029
553,2456668.60969,18.925,0.046
554,2456669.64035,18.7455,0.047
555,2456670.71762,19.1185,0.092
556,2456671.72229,18.7175,0.091
557,2456673.69339,18.7195,0.113
558,2456675.75374,18.580000000000002,0.112
559,2456676.68204,18.9875,0.055
560,2456677.68290,19.294,0.062
561,2456678.66552,19.0505,0.043
562,2456680.63694,19.098,0.023
563,2456681.68548,18.3745,0.048
564,2456682.70965,19.07,0.029
565,2456683.63758,19.171999999999997,0.022
566,2456684.72264,18.9585,0.026
567,2456686.58259,19.074,0.024
568,2456687.59920,19.1015,0.025
569,2456688.64887,19.081,0.028
570,2456689.60886,19.0095,0.022
571,2456690.61377,19.044,0.02
572,2456691.63646,18.9835,0.018
573,2456692.64947,18.808,0.017
574,2456694.62573,19.078,0.027
575,2456695.63078,18.802500000000002,0.026
576,2456696.59747,18.9785,0.043
577,2456697.57772,19.070999999999998,0.059
578,2456698.61790,19.246,0.088
579,2456699.60027,18.907,0.071
580,2456700.55061,19.256999999999998,0.097
581,2456701.57532,19.0705,0.083
582,2456703.62224,18.7885,0.077
583,2456705.61297,19.188,0.07
584,2456707.59185,19.155,0.039
585,2456709.56796,19.1235,0.023
586,2456711.58436,19.2085,0.024
587,2456713.55565,19.1555,0.023
588,2456715.54265,19.0775,0.021
589,2456717.61051,19.2185,0.025
590,2456719.58283,19.078000000000003,0.022
591,2456721.57484,19.165,0.025
592,2456723.60122,18.9885,0.025
593,2456725.55909,19.113,0.048
594,2456727.56180,19.2105,0.062
595,2456729.54313,19.345999999999997,0.074
596,2456731.54704,19.122000000000003,0.07
597,2456733.52011,19.0825,0.071
598,2456735.52371,18.9695,0.042
599,2456737.59657,19.125500000000002,0.053
600,2456739.54637,18.991999999999997,0.02
601,2456741.57004,19.011,0.021
602,2456743.56938,19.119000000000003,0.029
603,2456745.55546,19.031499999999998,0.022
604,2456747.53258,18.950499999999998,0.024
605,2456749.53113,18.911500000000004,0.021
606,2456751.52349,19.000000000000004,0.054
607,2456759.51751,18.641000000000002,0.046
608,2456763.49873,18.8335,0.054
609,2456773.50285,18.8345,0.026
610,2457037.63150,19.209,0.024
611,2457040.73810,19.215999999999998,0.023
612,2457042.65113,19.23,0.023
613,2457045.60650,19.113,0.023
614,2457048.61543,18.913500000000003,0.025
615,2457050.73221,18.898500000000002,0.024
616,2457052.60419,18.516000000000002,0.03
